Sweden, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 21/03/2016
Year    ARDY   Cohort        ASFR
1891     12-    1879+     0.00000
1891     13     1878      0.00000
1891     14     1877      0.00003
1891     15     1876      0.00015
1891     16     1875      0.00115
1891     17     1874      0.00393
1891     18     1873      0.01043
1891     19     1872      0.02379
1891     20     1871      0.04684
1891     21     1870      0.07219
1891     22     1869      0.09572
1891     23     1868      0.11863
1891     24     1867      0.14126
1891     25     1866      0.16603
1891     26     1865      0.18291
1891     27     1864      0.19511
1891     28     1863      0.20216
1891     29     1862      0.20754
1891     30     1861      0.21793
1891     31     1860      0.21767
1891     32     1859      0.21143
1891     33     1858      0.21018
1891     34     1857      0.20193
1891     35     1856      0.19859
1891     36     1855      0.19773
1891     37     1854      0.19322
1891     38     1853      0.17952
1891     39     1852      0.16683
1891     40     1851      0.15964
1891     41     1850      0.13909
1891     42     1849      0.11493
1891     43     1848      0.09448
1891     44     1847      0.07028
1891     45     1846      0.04580
1891     46     1845      0.02790
1891     47     1844      0.01448
1891     48     1843      0.00752
1891     49     1842      0.00336
1891     50     1841      0.00156
1891     51     1840      0.00024
1891     52     1839      0.00000
1891     53     1838      0.00000
1891     54     1837      0.00000
1891     55+    1836-     0.00000
1892     12-    1880+     0.00000
1892     13     1879      0.00000
1892     14     1878      0.00001
1892     15     1877      0.00017
1892     16     1876      0.00084
1892     17     1875      0.00345
1892     18     1874      0.01054
1892     19     1873      0.02379
1892     20     1872      0.04476
1892     21     1871      0.07070
1892     22     1870      0.09801
1892     23     1869      0.11964
1892     24     1868      0.13786
1892     25     1867      0.15884
1892     26     1866      0.17311
1892     27     1865      0.18468
1892     28     1864      0.19650
1892     29     1863      0.20105
1892     30     1862      0.20496
1892     31     1861      0.20829
1892     32     1860      0.20896
1892     33     1859      0.20200
1892     34     1858      0.19290
1892     35     1857      0.19164
1892     36     1856      0.18878
1892     37     1855      0.17962
1892     38     1854      0.16908
1892     39     1853      0.15857
1892     40     1852      0.14654
1892     41     1851      0.12859
1892     42     1850      0.10808
1892     43     1849      0.08838
1892     44     1848      0.06661
1892     45     1847      0.04611
1892     46     1846      0.02751
1892     47     1845      0.01412
1892     48     1844      0.00680
1892     49     1843      0.00322
1892     50     1842      0.00120
1892     51     1841      0.00020
1892     52     1840      0.00001
1892     53     1839      0.00000
1892     54     1838      0.00000
1892     55+    1837-     0.00000
1893     12-    1881+     0.00000
1893     13     1880      0.00000
1893     14     1879      0.00000
1893     15     1878      0.00014
1893     16     1877      0.00098
1893     17     1876      0.00412
1893     18     1875      0.01122
1893     19     1874      0.02433
1893     20     1873      0.04637
1893     21     1872      0.07052
1893     22     1871      0.09479
1893     23     1870      0.12207
1893     24     1869      0.14380
1893     25     1868      0.15771
1893     26     1867      0.17350
1893     27     1866      0.18912
1893     28     1865      0.19530
1893     29     1864      0.20262
1893     30     1863      0.21150
1893     31     1862      0.20955
1893     32     1861      0.21140
1893     33     1860      0.20999
1893     34     1859      0.20038
1893     35     1858      0.19643
1893     36     1857      0.19153
1893     37     1856      0.18372
1893     38     1855      0.17435
1893     39     1854      0.16489
1893     40     1853      0.15139
1893     41     1852      0.13097
1893     42     1851      0.11175
1893     43     1850      0.09172
1893     44     1849      0.06595
1893     45     1848      0.04426
1893     46     1847      0.02724
1893     47     1846      0.01386
1893     48     1845      0.00663
1893     49     1844      0.00302
1893     50     1843      0.00127
1893     51     1842      0.00024
1893     52     1841      0.00005
1893     53     1840      0.00001
1893     54     1839      0.00000
1893     55+    1838-     0.00000
1894     12-    1882+     0.00000
1894     13     1881      0.00000
1894     14     1880      0.00000
1894     15     1879      0.00003
1894     16     1878      0.00076
1894     17     1877      0.00334
1894     18     1876      0.01105
1894     19     1875      0.02550
1894     20     1874      0.04520
1894     21     1873      0.06904
1894     22     1872      0.09655
1894     23     1871      0.12443
1894     24     1870      0.14881
1894     25     1869      0.16248
1894     26     1868      0.17274
1894     27     1867      0.18372
1894     28     1866      0.19291
1894     29     1865      0.20144
1894     30     1864      0.20871
1894     31     1863      0.20763
1894     32     1862      0.20473
1894     33     1861      0.20672
1894     34     1860      0.20221
1894     35     1859      0.19295
1894     36     1858      0.18665
1894     37     1857      0.18048
1894     38     1856      0.17287
1894     39     1855      0.16336
1894     40     1854      0.15442
1894     41     1853      0.13449
1894     42     1852      0.11079
1894     43     1851      0.09010
1894     44     1850      0.06745
1894     45     1849      0.04705
1894     46     1848      0.02648
1894     47     1847      0.01356
1894     48     1846      0.00663
1894     49     1845      0.00294
1894     50     1844      0.00152
1894     51     1843      0.00020
1894     52     1842      0.00000
1894     53     1841      0.00000
1894     54     1840      0.00000
1894     55+    1839-     0.00000
1895     12-    1883+     0.00000
1895     13     1882      0.00000
1895     14     1881      0.00007
1895     15     1880      0.00029
1895     16     1879      0.00118
1895     17     1878      0.00425
1895     18     1877      0.01204
1895     19     1876      0.02718
1895     20     1875      0.05003
1895     21     1874      0.07408
1895     22     1873      0.09993
1895     23     1872      0.12818
1895     24     1871      0.14979
1895     25     1870      0.16820
1895     26     1869      0.17969
1895     27     1868      0.18812
1895     28     1867      0.20198
1895     29     1866      0.20777
1895     30     1865      0.20874
1895     31     1864      0.21287
1895     32     1863      0.21164
1895     33     1862      0.20419
1895     34     1861      0.20133
1895     35     1860      0.20044
1895     36     1859      0.19323
1895     37     1858      0.18311
1895     38     1857      0.17206
1895     39     1856      0.16016
1895     40     1855      0.15115
1895     41     1854      0.13571
1895     42     1853      0.11114
1895     43     1852      0.08946
1895     44     1851      0.06752
1895     45     1850      0.04368
1895     46     1849      0.02431
1895     47     1848      0.01250
1895     48     1847      0.00504
1895     49     1846      0.00174
1895     50     1845      0.00086
1895     51     1844      0.00012
1895     52     1843      0.00000
1895     53     1842      0.00000
1895     54     1841      0.00000
1895     55+    1840-     0.00000
1896     12-    1884+     0.00000
1896     13     1883      0.00000
1896     14     1882      0.00000
1896     15     1881      0.00012
1896     16     1880      0.00097
1896     17     1879      0.00460
1896     18     1878      0.01352
1896     19     1877      0.02919
1896     20     1876      0.05068
1896     21     1875      0.07714
1896     22     1874      0.10359
1896     23     1873      0.12710
1896     24     1872      0.14985
1896     25     1871      0.16973
1896     26     1870      0.18425
1896     27     1869      0.18920
1896     28     1868      0.19287
1896     29     1867      0.20077
1896     30     1866      0.20713
1896     31     1865      0.20910
1896     32     1864      0.20584
1896     33     1863      0.20236
1896     34     1862      0.20080
1896     35     1861      0.19608
1896     36     1860      0.18782
1896     37     1859      0.18180
1896     38     1858      0.17427
1896     39     1857      0.15826
1896     40     1856      0.14522
1896     41     1855      0.13136
1896     42     1854      0.11250
1896     43     1853      0.08863
1896     44     1852      0.06427
1896     45     1851      0.04332
1896     46     1850      0.02464
1896     47     1849      0.01205
1896     48     1848      0.00587
1896     49     1847      0.00206
1896     50     1846      0.00069
1896     51     1845      0.00011
1896     52     1844      0.00000
1896     53     1843      0.00000
1896     54     1842      0.00000
1896     55+    1841-     0.00000
1897     12-    1885+     0.00000
1897     13     1884      0.00000
1897     14     1883      0.00004
1897     15     1882      0.00017
1897     16     1881      0.00120
1897     17     1880      0.00528
1897     18     1879      0.01388
1897     19     1878      0.02849
1897     20     1877      0.05067
1897     21     1876      0.07726
1897     22     1875      0.10429
1897     23     1874      0.12837
1897     24     1873      0.14851
1897     25     1872      0.16630
1897     26     1871      0.18065
1897     27     1870      0.19160
1897     28     1869      0.19348
1897     29     1868      0.19637
1897     30     1867      0.20228
1897     31     1866      0.20452
1897     32     1865      0.20191
1897     33     1864      0.20069
1897     34     1863      0.19667
1897     35     1862      0.18843
1897     36     1861      0.18247
1897     37     1860      0.17801
1897     38     1859      0.16719
1897     39     1858      0.15315
1897     40     1857      0.14174
1897     41     1856      0.12589
1897     42     1855      0.10937
1897     43     1854      0.08973
1897     44     1853      0.06225
1897     45     1852      0.04100
1897     46     1851      0.02491
1897     47     1850      0.01243
1897     48     1849      0.00531
1897     49     1848      0.00215
1897     50     1847      0.00075
1897     51     1846      0.00007
1897     52     1845      0.00000
1897     53     1844      0.00000
1897     54     1843      0.00000
1897     55+    1842-     0.00000
1898     12-    1886+     0.00000
1898     13     1885      0.00000
1898     14     1884      0.00002
1898     15     1883      0.00041
1898     16     1882      0.00135
1898     17     1881      0.00517
1898     18     1880      0.01516
1898     19     1879      0.03144
1898     20     1878      0.05440
1898     21     1877      0.08035
1898     22     1876      0.10706
1898     23     1875      0.13107
1898     24     1874      0.15172
1898     25     1873      0.17022
1898     26     1872      0.18375
1898     27     1871      0.19422
1898     28     1870      0.20243
1898     29     1869      0.20390
1898     30     1868      0.20245
1898     31     1867      0.20224
1898     32     1866      0.20698
1898     33     1865      0.20580
1898     34     1864      0.19895
1898     35     1863      0.19535
1898     36     1862      0.18736
1898     37     1861      0.17818
1898     38     1860      0.16958
1898     39     1859      0.15603
1898     40     1858      0.14302
1898     41     1857      0.12665
1898     42     1856      0.10543
1898     43     1855      0.08533
1898     44     1854      0.06345
1898     45     1853      0.03934
1898     46     1852      0.02288
1898     47     1851      0.01277
1898     48     1850      0.00548
1898     49     1849      0.00204
1898     50     1848      0.00079
1898     51     1847      0.00034
1898     52     1846      0.00011
1898     53     1845      0.00001
1898     54     1844      0.00000
1898     55+    1843-     0.00000
1899     12-    1887+     0.00000
1899     13     1886      0.00000
1899     14     1885      0.00001
1899     15     1884      0.00029
1899     16     1883      0.00131
1899     17     1882      0.00527
1899     18     1881      0.01503
1899     19     1880      0.03134
1899     20     1879      0.05402
1899     21     1878      0.07905
1899     22     1877      0.10570
1899     23     1876      0.12964
1899     24     1875      0.15037
1899     25     1874      0.16678
1899     26     1873      0.18164
1899     27     1872      0.19540
1899     28     1871      0.19779
1899     29     1870      0.20118
1899     30     1869      0.19960
1899     31     1868      0.19709
1899     32     1867      0.19593
1899     33     1866      0.19065
1899     34     1865      0.18809
1899     35     1864      0.18486
1899     36     1863      0.18163
1899     37     1862      0.17265
1899     38     1861      0.16262
1899     39     1860      0.15275
1899     40     1859      0.13765
1899     41     1858      0.12134
1899     42     1857      0.10225
1899     43     1856      0.08172
1899     44     1855      0.06168
1899     45     1854      0.04057
1899     46     1853      0.02316
1899     47     1852      0.01193
1899     48     1851      0.00518
1899     49     1850      0.00210
1899     50     1849      0.00071
1899     51     1848      0.00018
1899     52     1847      0.00002
1899     53     1846      0.00000
1899     54     1845      0.00000
1899     55+    1844-     0.00000
1900     12-    1888+     0.00000
1900     13     1887      0.00000
1900     14     1886      0.00002
1900     15     1885      0.00034
1900     16     1884      0.00135
1900     17     1883      0.00551
1900     18     1882      0.01562
1900     19     1881      0.03316
1900     20     1880      0.05568
1900     21     1879      0.08196
1900     22     1878      0.11073
1900     23     1877      0.13636
1900     24     1876      0.15466
1900     25     1875      0.17233
1900     26     1874      0.18503
1900     27     1873      0.19270
1900     28     1872      0.20360
1900     29     1871      0.20517
1900     30     1870      0.20416
1900     31     1869      0.20121
1900     32     1868      0.19757
1900     33     1867      0.19796
1900     34     1866      0.19668
1900     35     1865      0.19039
1900     36     1864      0.18237
1900     37     1863      0.17689
1900     38     1862      0.16487
1900     39     1861      0.15239
1900     40     1860      0.14175
1900     41     1859      0.12383
1900     42     1858      0.10310
1900     43     1857      0.08234
1900     44     1856      0.06088
1900     45     1855      0.03965
1900     46     1854      0.02350
1900     47     1853      0.01146
1900     48     1852      0.00511
1900     49     1851      0.00249
1900     50     1850      0.00067
1900     51     1849      0.00013
1900     52     1848      0.00006
1900     53     1847      0.00001
1900     54     1846      0.00000
1900     55+    1845-     0.00000
1901     12-    1889+     0.00000
1901     13     1888      0.00000
1901     14     1887      0.00001
1901     15     1886      0.00025
1901     16     1885      0.00154
1901     17     1884      0.00617
1901     18     1883      0.01598
1901     19     1882      0.03290
1901     20     1881      0.05684
1901     21     1880      0.08539
1901     22     1879      0.11298
1901     23     1878      0.13663
1901     24     1877      0.15857
1901     25     1876      0.17624
1901     26     1875      0.18830
1901     27     1874      0.19830
1901     28     1873      0.20412
1901     29     1872      0.20839
1901     30     1871      0.20835
1901     31     1870      0.20489
1901     32     1869      0.19790
1901     33     1868      0.19001
1901     34     1867      0.18829
1901     35     1866      0.18572
1901     36     1865      0.17787
1901     37     1864      0.17183
1901     38     1863      0.16481
1901     39     1862      0.15308
1901     40     1861      0.13943
1901     41     1860      0.12176
1901     42     1859      0.10091
1901     43     1858      0.08010
1901     44     1857      0.05787
1901     45     1856      0.03885
1901     46     1855      0.02404
1901     47     1854      0.01211
1901     48     1853      0.00571
1901     49     1852      0.00218
1901     50     1851      0.00051
1901     51     1850      0.00009
1901     52     1849      0.00007
1901     53     1848      0.00002
1901     54     1847      0.00000
1901     55+    1846-     0.00000
1902     12-    1890+     0.00000
1902     13     1889      0.00001
1902     14     1888      0.00007
1902     15     1887      0.00024
1902     16     1886      0.00160
1902     17     1885      0.00605
1902     18     1884      0.01573
1902     19     1883      0.03455
1902     20     1882      0.05887
1902     21     1881      0.08256
1902     22     1880      0.11072
1902     23     1879      0.13729
1902     24     1878      0.15587
1902     25     1877      0.17244
1902     26     1876      0.18616
1902     27     1875      0.19302
1902     28     1874      0.19698
1902     29     1873      0.20138
1902     30     1872      0.20236
1902     31     1871      0.20003
1902     32     1870      0.19585
1902     33     1869      0.18885
1902     34     1868      0.18461
1902     35     1867      0.18263
1902     36     1866      0.17588
1902     37     1865      0.16703
1902     38     1864      0.15817
1902     39     1863      0.14919
1902     40     1862      0.13494
1902     41     1861      0.11663
1902     42     1860      0.09955
1902     43     1859      0.08095
1902     44     1858      0.05939
1902     45     1857      0.03749
1902     46     1856      0.02126
1902     47     1855      0.01091
1902     48     1854      0.00473
1902     49     1853      0.00144
1902     50     1852      0.00046
1902     51     1851      0.00019
1902     52     1850      0.00002
1902     53     1849      0.00000
1902     54     1848      0.00000
1902     55+    1847-     0.00000
1903     12-    1891+     0.00000
1903     13     1890      0.00000
1903     14     1889      0.00005
1903     15     1888      0.00025
1903     16     1887      0.00137
1903     17     1886      0.00524
1903     18     1885      0.01559
1903     19     1884      0.03351
1903     20     1883      0.05525
1903     21     1882      0.08214
1903     22     1881      0.10810
1903     23     1880      0.13074
1903     24     1879      0.15350
1903     25     1878      0.16796
1903     26     1877      0.18078
1903     27     1876      0.18926
1903     28     1875      0.19297
1903     29     1874      0.19812
1903     30     1873      0.19834
1903     31     1872      0.19529
1903     32     1871      0.19221
1903     33     1870      0.18752
1903     34     1869      0.18000
1903     35     1868      0.17256
1903     36     1867      0.16702
1903     37     1866      0.16116
1903     38     1865      0.15413
1903     39     1864      0.14342
1903     40     1863      0.12887
1903     41     1862      0.11266
1903     42     1861      0.09567
1903     43     1860      0.07555
1903     44     1859      0.05498
1903     45     1858      0.03618
1903     46     1857      0.02180
1903     47     1856      0.01037
1903     48     1855      0.00458
1903     49     1854      0.00250
1903     50     1853      0.00064
1903     51     1852      0.00004
1903     52     1851      0.00000
1903     53     1850      0.00000
1903     54     1849      0.00000
1903     55+    1848-     0.00000
1904     12-    1892+     0.00000
1904     13     1891      0.00000
1904     14     1890      0.00005
1904     15     1889      0.00026
1904     16     1888      0.00148
1904     17     1887      0.00564
1904     18     1886      0.01596
1904     19     1885      0.03390
1904     20     1884      0.05717
1904     21     1883      0.08205
1904     22     1882      0.10929
1904     23     1881      0.13340
1904     24     1880      0.15145
1904     25     1879      0.16841
1904     26     1878      0.18002
1904     27     1877      0.18891
1904     28     1876      0.19519
1904     29     1875      0.19635
1904     30     1874      0.19544
1904     31     1873      0.19602
1904     32     1872      0.19532
1904     33     1871      0.18980
1904     34     1870      0.18492
1904     35     1869      0.17350
1904     36     1868      0.16524
1904     37     1867      0.16175
1904     38     1866      0.15300
1904     39     1865      0.14013
1904     40     1864      0.12922
1904     41     1863      0.11587
1904     42     1862      0.09486
1904     43     1861      0.07461
1904     44     1860      0.05477
1904     45     1859      0.03453
1904     46     1858      0.01931
1904     47     1857      0.00989
1904     48     1856      0.00443
1904     49     1855      0.00160
1904     50     1854      0.00051
1904     51     1853      0.00008
1904     52     1852      0.00003
1904     53     1851      0.00001
1904     54     1850      0.00000
1904     55+    1849-     0.00000
1905     12-    1893+     0.00000
1905     13     1892      0.00000
1905     14     1891      0.00008
1905     15     1890      0.00038
1905     16     1889      0.00164
1905     17     1888      0.00616
1905     18     1887      0.01680
1905     19     1886      0.03406
1905     20     1885      0.05666
1905     21     1884      0.08206
1905     22     1883      0.10632
1905     23     1882      0.13251
1905     24     1881      0.15292
1905     25     1880      0.16736
1905     26     1879      0.17939
1905     27     1878      0.18588
1905     28     1877      0.19407
1905     29     1876      0.19599
1905     30     1875      0.19600
1905     31     1874      0.19607
1905     32     1873      0.19219
1905     33     1872      0.18981
1905     34     1871      0.18420
1905     35     1870      0.17524
1905     36     1869      0.16389
1905     37     1868      0.15416
1905     38     1867      0.15059
1905     39     1866      0.14104
1905     40     1865      0.12721
1905     41     1864      0.11342
1905     42     1863      0.09616
1905     43     1862      0.07474
1905     44     1861      0.05385
1905     45     1860      0.03742
1905     46     1859      0.02157
1905     47     1858      0.00961
1905     48     1857      0.00408
1905     49     1856      0.00152
1905     50     1855      0.00050
1905     51     1854      0.00008
1905     52     1853      0.00003
1905     53     1852      0.00001
1905     54     1851      0.00000
1905     55+    1850-     0.00000
1906     12-    1894+     0.00000
1906     13     1893      0.00000
1906     14     1892      0.00001
1906     15     1891      0.00029
1906     16     1890      0.00164
1906     17     1889      0.00666
1906     18     1888      0.01808
1906     19     1887      0.03597
1906     20     1886      0.05995
1906     21     1885      0.08477
1906     22     1884      0.11006
1906     23     1883      0.13327
1906     24     1882      0.15411
1906     25     1881      0.16818
1906     26     1880      0.18067
1906     27     1879      0.19080
1906     28     1878      0.19334
1906     29     1877      0.19391
1906     30     1876      0.19560
1906     31     1875      0.19442
1906     32     1874      0.18976
1906     33     1873      0.18448
1906     34     1872      0.18088
1906     35     1871      0.17785
1906     36     1870      0.16950
1906     37     1869      0.15593
1906     38     1868      0.14247
1906     39     1867      0.13390
1906     40     1866      0.12551
1906     41     1865      0.11141
1906     42     1864      0.09453
1906     43     1863      0.07483
1906     44     1862      0.05395
1906     45     1861      0.03544
1906     46     1860      0.02010
1906     47     1859      0.01022
1906     48     1858      0.00436
1906     49     1857      0.00164
1906     50     1856      0.00034
1906     51     1855      0.00011
1906     52     1854      0.00003
1906     53     1853      0.00000
1906     54     1852      0.00000
1906     55+    1851-     0.00000
1907     12-    1895+     0.00000
1907     13     1894      0.00000
1907     14     1893      0.00008
1907     15     1892      0.00039
1907     16     1891      0.00175
1907     17     1890      0.00705
1907     18     1889      0.01972
1907     19     1888      0.03811
1907     20     1887      0.06032
1907     21     1886      0.08662
1907     22     1885      0.11312
1907     23     1884      0.13404
1907     24     1883      0.15336
1907     25     1882      0.16802
1907     26     1881      0.17854
1907     27     1880      0.18551
1907     28     1879      0.19140
1907     29     1878      0.19336
1907     30     1877      0.19202
1907     31     1876      0.19126
1907     32     1875      0.19120
1907     33     1874      0.18514
1907     34     1873      0.17693
1907     35     1872      0.17201
1907     36     1871      0.16546
1907     37     1870      0.15634
1907     38     1869      0.14360
1907     39     1868      0.13120
1907     40     1867      0.12096
1907     41     1866      0.10932
1907     42     1865      0.09208
1907     43     1864      0.07147
1907     44     1863      0.05197
1907     45     1862      0.03361
1907     46     1861      0.01978
1907     47     1860      0.00941
1907     48     1859      0.00353
1907     49     1858      0.00137
1907     50     1857      0.00056
1907     51     1856      0.00009
1907     52     1855      0.00003
1907     53     1854      0.00001
1907     54     1853      0.00000
1907     55+    1852-     0.00000
1908     12-    1896+     0.00000
1908     13     1895      0.00000
1908     14     1894      0.00001
1908     15     1893      0.00024
1908     16     1892      0.00189
1908     17     1891      0.00762
1908     18     1890      0.01978
1908     19     1889      0.03994
1908     20     1888      0.06588
1908     21     1887      0.09295
1908     22     1886      0.11705
1908     23     1885      0.13756
1908     24     1884      0.15612
1908     25     1883      0.17053
1908     26     1882      0.18169
1908     27     1881      0.18616
1908     28     1880      0.18928
1908     29     1879      0.19454
1908     30     1878      0.19316
1908     31     1877      0.19168
1908     32     1876      0.18959
1908     33     1875      0.18188
1908     34     1874      0.17412
1908     35     1873      0.16907
1908     36     1872      0.16312
1908     37     1871      0.15656
1908     38     1870      0.14581
1908     39     1869      0.12860
1908     40     1868      0.11495
1908     41     1867      0.10387
1908     42     1866      0.08879
1908     43     1865      0.07054
1908     44     1864      0.05105
1908     45     1863      0.03437
1908     46     1862      0.02020
1908     47     1861      0.00959
1908     48     1860      0.00388
1908     49     1859      0.00144
1908     50     1858      0.00047
1908     51     1857      0.00005
1908     52     1856      0.00000
1908     53     1855      0.00000
1908     54     1854      0.00000
1908     55+    1853-     0.00000
1909     12-    1897+     0.00000
1909     13     1896      0.00000
1909     14     1895      0.00003
1909     15     1894      0.00050
1909     16     1893      0.00186
1909     17     1892      0.00766
1909     18     1891      0.02134
1909     19     1890      0.04156
1909     20     1889      0.06559
1909     21     1888      0.09228
1909     22     1887      0.11564
1909     23     1886      0.13687
1909     24     1885      0.15402
1909     25     1884      0.16749
1909     26     1883      0.17798
1909     27     1882      0.18608
1909     28     1881      0.19201
1909     29     1880      0.19140
1909     30     1879      0.18967
1909     31     1878      0.18682
1909     32     1877      0.18393
1909     33     1876      0.18186
1909     34     1875      0.17652
1909     35     1874      0.16867
1909     36     1873      0.16003
1909     37     1872      0.15327
1909     38     1871      0.14637
1909     39     1870      0.13306
1909     40     1869      0.11746
1909     41     1868      0.10142
1909     42     1867      0.08825
1909     43     1866      0.07104
1909     44     1865      0.04814
1909     45     1864      0.03232
1909     46     1863      0.01887
1909     47     1862      0.00938
1909     48     1861      0.00403
1909     49     1860      0.00144
1909     50     1859      0.00062
1909     51     1858      0.00009
1909     52     1857      0.00000
1909     53     1856      0.00000
1909     54     1855      0.00000
1909     55+    1854-     0.00000
1910     12-    1898+     0.00001
1910     13     1897      0.00003
1910     14     1896      0.00007
1910     15     1895      0.00039
1910     16     1894      0.00210
1910     17     1893      0.00816
1910     18     1892      0.02055
1910     19     1891      0.03899
1910     20     1890      0.06405
1910     21     1889      0.08877
1910     22     1888      0.11319
1910     23     1887      0.13351
1910     24     1886      0.14833
1910     25     1885      0.16224
1910     26     1884      0.17166
1910     27     1883      0.17496
1910     28     1882      0.18020
1910     29     1881      0.18297
1910     30     1880      0.17928
1910     31     1879      0.17736
1910     32     1878      0.17497
1910     33     1877      0.17212
1910     34     1876      0.16680
1910     35     1875      0.16173
1910     36     1874      0.15578
1910     37     1873      0.14841
1910     38     1872      0.14012
1910     39     1871      0.12911
1910     40     1870      0.11564
1910     41     1869      0.09860
1910     42     1868      0.08248
1910     43     1867      0.06596
1910     44     1866      0.04804
1910     45     1865      0.03046
1910     46     1864      0.01804
1910     47     1863      0.00938
1910     48     1862      0.00364
1910     49     1861      0.00142
1910     50     1860      0.00031
1910     51     1859      0.00005
1910     52     1858      0.00001
1910     53     1857      0.00000
1910     54     1856      0.00000
1910     55+    1855-     0.00000
1911     12-    1899+     0.00000
1911     13     1898      0.00000
1911     14     1897      0.00001
1911     15     1896      0.00034
1911     16     1895      0.00200
1911     17     1894      0.00765
1911     18     1893      0.02027
1911     19     1892      0.04045
1911     20     1891      0.06234
1911     21     1890      0.08477
1911     22     1889      0.10828
1911     23     1888      0.12954
1911     24     1887      0.14487
1911     25     1886      0.15680
1911     26     1885      0.16675
1911     27     1884      0.16977
1911     28     1883      0.17319
1911     29     1882      0.17615
1911     30     1881      0.17378
1911     31     1880      0.17146
1911     32     1879      0.16867
1911     33     1878      0.16360
1911     34     1877      0.16093
1911     35     1876      0.15538
1911     36     1875      0.14836
1911     37     1874      0.14335
1911     38     1873      0.13537
1911     39     1872      0.12742
1911     40     1871      0.11315
1911     41     1870      0.09743
1911     42     1869      0.08039
1911     43     1868      0.06178
1911     44     1867      0.04491
1911     45     1866      0.02966
1911     46     1865      0.01755
1911     47     1864      0.00851
1911     48     1863      0.00340
1911     49     1862      0.00138
1911     50     1861      0.00043
1911     51     1860      0.00012
1911     52     1859      0.00002
1911     53     1858      0.00000
1911     54     1857      0.00000
1911     55+    1856-     0.00000
1912     12-    1900+     0.00000
1912     13     1899      0.00000
1912     14     1898      0.00001
1912     15     1897      0.00044
1912     16     1896      0.00247
1912     17     1895      0.00862
1912     18     1894      0.02144
1912     19     1893      0.04072
1912     20     1892      0.06448
1912     21     1891      0.08828
1912     22     1890      0.10765
1912     23     1889      0.12628
1912     24     1888      0.14489
1912     25     1887      0.15649
1912     26     1886      0.16460
1912     27     1885      0.16795
1912     28     1884      0.17000
1912     29     1883      0.16920
1912     30     1882      0.16989
1912     31     1881      0.16707
1912     32     1880      0.16337
1912     33     1879      0.16314
1912     34     1878      0.15905
1912     35     1877      0.15332
1912     36     1876      0.14659
1912     37     1875      0.14120
1912     38     1874      0.13095
1912     39     1873      0.12139
1912     40     1872      0.11142
1912     41     1871      0.09670
1912     42     1870      0.07996
1912     43     1869      0.06018
1912     44     1868      0.04289
1912     45     1867      0.02880
1912     46     1866      0.01724
1912     47     1865      0.00857
1912     48     1864      0.00360
1912     49     1863      0.00150
1912     50     1862      0.00052
1912     51     1861      0.00011
1912     52     1860      0.00001
1912     53     1859      0.00000
1912     54     1858      0.00000
1912     55+    1857-     0.00000
1913     12-    1901+     0.00000
1913     13     1900      0.00000
1913     14     1899      0.00002
1913     15     1898      0.00040
1913     16     1897      0.00194
1913     17     1896      0.00781
1913     18     1895      0.02064
1913     19     1894      0.03997
1913     20     1893      0.06272
1913     21     1892      0.08717
1913     22     1891      0.10925
1913     23     1890      0.12427
1913     24     1889      0.14049
1913     25     1888      0.15310
1913     26     1887      0.15737
1913     27     1886      0.16178
1913     28     1885      0.16762
1913     29     1884      0.16584
1913     30     1883      0.16201
1913     31     1882      0.16354
1913     32     1881      0.16221
1913     33     1880      0.15479
1913     34     1879      0.14811
1913     35     1878      0.14519
1913     36     1877      0.14146
1913     37     1876      0.13657
1913     38     1875      0.12684
1913     39     1874      0.11613
1913     40     1873      0.10594
1913     41     1872      0.09185
1913     42     1871      0.07647
1913     43     1870      0.06057
1913     44     1869      0.04248
1913     45     1868      0.02682
1913     46     1867      0.01605
1913     47     1866      0.00785
1913     48     1865      0.00304
1913     49     1864      0.00114
1913     50     1863      0.00040
1913     51     1862      0.00009
1913     52     1861      0.00007
1913     53     1860      0.00002
1913     54     1859      0.00000
1913     55+    1858-     0.00000
1914     12-    1902+     0.00001
1914     13     1901      0.00001
1914     14     1900      0.00003
1914     15     1899      0.00035
1914     16     1898      0.00207
1914     17     1897      0.00827
1914     18     1896      0.02195
1914     19     1895      0.04250
1914     20     1894      0.06505
1914     21     1893      0.08686
1914     22     1892      0.10695
1914     23     1891      0.12515
1914     24     1890      0.13777
1914     25     1889      0.14605
1914     26     1888      0.15504
1914     27     1887      0.15936
1914     28     1886      0.16351
1914     29     1885      0.16435
1914     30     1884      0.16092
1914     31     1883      0.15918
1914     32     1882      0.15611
1914     33     1881      0.15197
1914     34     1880      0.14800
1914     35     1879      0.14140
1914     36     1878      0.13446
1914     37     1877      0.13017
1914     38     1876      0.12242
1914     39     1875      0.11237
1914     40     1874      0.10312
1914     41     1873      0.09134
1914     42     1872      0.07609
1914     43     1871      0.05988
1914     44     1870      0.04262
1914     45     1869      0.02602
1914     46     1868      0.01464
1914     47     1867      0.00781
1914     48     1866      0.00330
1914     49     1865      0.00117
1914     50     1864      0.00026
1914     51     1863      0.00004
1914     52     1862      0.00004
1914     53     1861      0.00001
1914     54     1860      0.00000
1914     55+    1859-     0.00000
1915     12-    1903+     0.00000
1915     13     1902      0.00000
1915     14     1901      0.00000
1915     15     1900      0.00026
1915     16     1899      0.00198
1915     17     1898      0.00812
1915     18     1897      0.01992
